Dutch	English	Category
hond	dog	animal
paard	horse	animal
eend	duck	animal
arend	eagle	animal
kat	cat	animal
leeuw	lion	animal
muis	mouse	animal
beer	bear	animal
wolf	wolf	animal
schaap	sheep	animal
rug	back	body
arm	arm	body
oog	eye	body
been	leg	body
oor	ear	body
mond	mouth	body
teen	toe	body
vinger	finger	body
neus	nose	body
lippen	lips	body
kerk	church	building
weg	road	building
fabriek	factory	building
kasteel	castle	building
brug	bridge	building
gevangenis	prison	building
toren	tower	building
bibliotheek	library	building
museum	museum	building
tempel	temple	building
koning	king	human
soldaat	soldier	human
politieagent	police officer	human
gevangene	prisoner	human
priester	priest	human
leraar	teacher	human
dokter	medical doctor	human
rechter	judge	human
kind	child	human
vuur	fire	nature
rivier	river	nature
eiland	island	nature
zee	sea	nature
park	park	nature
berg	mountain	nature
rots	rock	nature
golf	wave	nature
wolk	cloud	nature
nest	nest	nature
boek	book	tool
bal	ball	tool
zaag	saw	tool
ring	ring	tool
schaar	scissors	tool
boor	drill	tool
lepel	spoon	tool
schep	shovel	tool
kam	comb	tool
auto	car	vehicle
ideologie	ideology	abstract_high
timing	timing	abstract_high
schatting	estimate	abstract_high
voordeel	advantage	abstract_high
geschiedenis	history	abstract_high
leeftijd	age	abstract_high
fenomeen	phenomenon	abstract_high
inflatie	inflation	abstract_high
schoonheid	beauty	abstract_high
lot	destiny	abstract_high
ervaring	experience	abstract_high
logica	logic	abstract_high
reputatie	reputation	abstract_high
potentie	merit	abstract_high
betekenis	meaning	abstract_high
verandering	change	abstract_high
aantal	number	abstract_high
jeugd	youth	abstract_high
probleem	problem	abstract_high
vrijheid	freedom	abstract_high
geld	money	abstract_high
democratie	demokracy	abstract_high
investering	investment	abstract_high
wil	will	abstract_high
toverspreuk	spell	abstract_high
pauze	break	abstract_high
vermogen	power	abstract_high
informatie	information	abstract_high
macht	power	abstract_high
verstand	sense	abstract_high
ochtend	morning	abstract_mid
leger	army	abstract_mid
bacterie	bacteria	abstract_mid
zuurstof	oxygen	abstract_mid
prijs	price	abstract_mid
uitdrukking	expression	abstract_mid
avond	evening	abstract_mid
infectie	infection	abstract_mid
internet	internet	abstract_mid
team	team	abstract_mid
wrijving	friction	abstract_mid
maat	size	abstract_mid
lied	song	abstract_mid
spel	play	abstract_mid
bijlage	attachment	abstract_mid
natuur	nature	abstract_mid
item	entry	abstract_mid
jagen	hunting	abstract_mid
muziek	music	abstract_mid
voorstelling	play	abstract_mid
druk	pressure	abstract_mid
gewicht	weight	abstract_mid
speech	speech	abstract_mid
uitbraak	eruption	abstract_mid
gedicht	poem	abstract_mid
achtergrond	background	abstract_mid
werk	work	abstract_mid
bewijs	proof	abstract_mid
gen	gene	abstract_mid
